msgid	en
Total count	Total count
Percent	Percent
Total	Total
Crosstab by Gender	crosstab by gender
Crosstab by Position	crosstab by position
Crosstab by	crosstab by
Table	Table 
count	count
valid	valid
cum	cum
value	value
Age	Age
Gender	Gender
Missing	Missing
